onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
0.0844	0.5084	go	n/a	0.914	correct	left	male
8.5926	0.5083	go	n/a	0.919	correct	right	female
13.6008	0.5083	succesful_stop	0.2	n/a	n/a	right	female
16.1174	0.5083	go	n/a	0.828	correct	right	female
20.6172	0.5084	go	n/a	0.69	correct	right	female
25.1255	0.5083	go	n/a	0.734	correct	right	female
29.6337	0.5083	unsuccesful_stop	0.25	0.626	correct	left	male
32.1503	0.5083	go	n/a	0.749	correct	left	male
37.1502	0.5083	succesful_stop	0.3	n/a	n/a	right	female
41.6584	0.5083	go	n/a	1.025	correct	right	female
45.1666	0.5083	go	n/a	0.752	correct	right	female
48.6749	0.5083	succesful_stop	0.35	n/a	n/a	right	male
52.6831	0.5083	go	n/a	0.696	correct	left	male
57.6913	0.5083	go	n/a	0.928	correct	right	female
60.2079	0.5083	succesful_stop	0.4	n/a	n/a	right	male
64.7078	0.5083	go	n/a	0.806	correct	left	male
69.216	0.5083	go	n/a	1.156	correct	right	female
72.2326	0.5083	succesful_stop	0.45	n/a	n/a	right	female
76.2408	0.5083	go	n/a	1.112	correct	right	female
81.7407	0.5083	go	n/a	1.122	incorrect	left	female
88.7571	0.5084	go	n/a	0.886	correct	left	male
93.7653	0.5084	succesful_stop	0.5	n/a	n/a	right	female
96.7736	0.5083	go	n/a	0.848	correct	left	male
101.2818	0.5083	go	n/a	1.011	correct	right	female
105.79	0.5083	go	n/a	0.962	correct	right	female
109.2983	0.5083	succesful_stop	0.55	n/a	n/a	right	female
117.8147	0.5083	go	n/a	1.158	incorrect	left	female
125.3312	0.5083	succesful_stop	0.6	n/a	n/a	right	male
129.8394	0.5083	go	n/a	1.211	incorrect	left	female
133.8476	0.5084	go	n/a	1.04	correct	right	female
137.8559	0.5083	unsuccesful_stop	0.65	1.001	correct	left	male
141.3641	0.5083	succesful_stop	0.7	n/a	n/a	right	female
148.3889	0.5083	go	n/a	1.065	correct	left	male
152.8888	0.5083	go	n/a	0.968	correct	left	male
156.897	0.5084	go	n/a	1.275	correct	left	male
161.4053	0.5083	succesful_stop	0.75	n/a	n/a	right	female
164.9135	0.5083	unsuccesful_stop	0.8	0.95	correct	right	female
168.4301	0.5083	go	n/a	0.899	correct	right	female
173.4299	0.5084	go	n/a	1.092	correct	left	male
177.4382	0.5083	go	n/a	1.084	correct	right	female
180.9464	0.5083	go	n/a	1.299	correct	right	female
184.9546	0.5084	go	n/a	1.029	correct	right	female
189.4629	0.5083	unsuccesful_stop	0.85	0.948	correct	left	male
193.4711	0.5083	succesful_stop	0.9	n/a	n/a	right	male
197.9793	0.5083	go	n/a	1.411	correct	left	male
200.9876	0.5083	go	n/a	1.333	correct	left	male
205.9958	0.5083	go	n/a	1.209	correct	left	male
209.504	0.5083	succesful_stop	0.95	n/a	n/a	right	male
212.5206	0.5083	go	n/a	1.263	correct	left	male
216.5288	0.5083	succesful_stop	1.0	n/a	n/a	right	male
222.0287	0.5083	go	n/a	1.387	correct	right	female
225.0369	0.5083	go	n/a	1.64	correct	right	female
228.5535	0.5083	go	n/a	1.244	correct	left	male
234.0534	0.5083	go	n/a	1.494	correct	left	male
240.5782	0.5083	succesful_stop	1.05	n/a	n/a	right	male
250.0863	0.5083	go	n/a	1.339	correct	right	female
253.5945	0.5083	go	n/a	1.31	correct	left	male
257.1028	0.5083	go	n/a	1.468	correct	left	male
261.611	0.5083	go	n/a	1.328	correct	left	male
265.1192	0.5083	go	n/a	1.319	correct	left	male
270.1274	0.5083	go	n/a	1.44	incorrect	left	female
273.1357	0.5083	succesful_stop	1.1	n/a	n/a	right	female
277.6439	0.5083	go	n/a	1.296	correct	left	male
282.1521	0.5083	go	n/a	1.317	correct	right	female
284.6687	0.5083	succesful_stop	1.15	n/a	n/a	right	female
290.1686	0.5083	succesful_stop	1.2	n/a	n/a	right	female
297.185	0.5084	go	n/a	1.327	correct	right	female
302.1933	0.5083	go	n/a	1.496	correct	right	female
306.2015	0.5083	succesful_stop	1.25	n/a	n/a	right	female
309.7097	0.5083	unsuccesful_stop	1.3	1.415	correct	right	female
312.7263	0.5083	unsuccesful_stop	1.35	1.531	correct	right	female
318.2262	0.5083	unsuccesful_stop	1.4	1.5	correct	right	female
326.2426	0.5083	go	n/a	1.711	correct	left	male
329.7509	0.5083	go	n/a	1.533	correct	right	female
332.7675	0.5083	go	n/a	1.928	correct	right	female
337.7673	0.5083	unsuccesful_stop	1.45	1.299	correct	left	male
340.7839	0.5083	go	n/a	1.877	correct	left	male
345.7838	0.5083	succesful_stop	1.5	n/a	n/a	right	male
349.792	0.5083	succesful_stop	1.55	n/a	n/a	right	male
353.3003	0.5083	go	n/a	2.018	correct	right	female
357.3085	0.5083	go	n/a	1.834	correct	left	male
362.3167	0.5083	succesful_stop	1.6	n/a	n/a	right	male
365.8249	0.5083	unsuccesful_stop	1.65	1.738	correct	left	male
370.3331	0.5084	go	n/a	2.072	correct	left	male
373.8414	0.5083	go	n/a	1.903	correct	right	female
378.3496	0.5083	succesful_stop	1.7	n/a	n/a	right	female
381.3579	0.5083	go	n/a	1.785	correct	left	male
384.8744	0.5083	go	n/a	1.912	correct	right	female
389.3743	0.5083	go	n/a	1.75	correct	right	female
394.3825	0.5083	succesful_stop	1.75	n/a	n/a	right	male
397.8908	0.5083	go	n/a	1.786	correct	left	male
402.399	0.5083	go	n/a	2.256	correct	right	female
405.4072	0.5083	go	n/a	2.279	correct	left	male
409.9154	0.5084	go	n/a	2.269	correct	left	male
414.4237	0.5083	go	n/a	1.994	incorrect	left	female
421.9401	0.5084	go	n/a	2.318	correct	left	male
426.4483	0.5084	go	n/a	n/a	miss	right	male
432.4649	0.5083	unsuccesful_stop	1.8	1.343	correct	left	male
435.9731	0.5083	unsuccesful_stop	1.85	1.714	correct	right	female
438.9897	0.5083	go	n/a	2.261	correct	right	female
